normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,color_ratio
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8219361791856593
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6972575609693368
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7355694008285121
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6636327571683536
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6045030479163175
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5878858222462073
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6962002550870612
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6425547181833631
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8264701637408024
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5537857928332717
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8717424733453852
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6815964478024364
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7334531758656799
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5954308440500925
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5988347741075148
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.49554480842259857
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.697507551890176
